neuron_id,is_candidate,n_prompts,d_elogu_slope_per_sigma,d_elogu_slope_p,d_elogu_mean_ablation,d_elogu_mean_ablation_p,d_kl_slope_per_sigma,d_kl_slope_p,d_kl_mean_ablation,d_kl_mean_ablation_p,d_entropy_slope_per_sigma,d_entropy_slope_p,d_entropy_mean_ablation,d_entropy_mean_ablation_p,freq_corr,abs_freq_corr_pctile
L29_N11909,True,120,-0.0010368943214416502,0.4211157768446311,0.0018879055976867675,0.5366926614677064,0.0061219563086827595,0.0003999200159968006,-0.00668865442276001,0.02979404119176165,-0.005085047086079915,0.0001999600079984003,0.004800685246785482,0.021595680863827234,-0.5412424206733704,100.0
L29_N12400,True,120,0.0018418023983637493,0.07378524295140972,0.00042374531428019204,0.9012197560487902,-0.00029788315296173077,0.8082383523295341,0.0004913091659545898,0.8670265946810638,-0.0015438983837763468,0.03199360127974405,-0.0009150554736455282,0.6250749850029994,-0.1679340451955795,94.9
L29_N13925,True,120,-0.0015572836001714067,0.047190561887622474,0.004030704498291016,0.19376124775044992,0.0006341675917307534,0.3757248550289942,-0.0024727662404378254,0.49150169966006796,0.0009231083095073698,0.021195760847830435,-0.0015579352776209513,0.2829434113177364,-0.095831349492073,76.0
L29_N2646,True,120,-0.0020056813955307002,0.007998400319936013,-0.00194702943166097,0.3945210957808438,0.0025612513224283853,0.0003999200159968006,0.0002905090649922689,0.8848230353929214,-0.0005555947621663412,0.18136372725454908,0.0016564955314000449,0.1841631673665267,0.0880060940980911,72.3
L29_N3447,True,120,-0.001579920450846354,0.027794441111777646,0.0038295706113179524,0.13917216556688664,0.00014832119146982817,0.7832433513297341,-0.002790546417236328,0.1875624875024995,0.0014315940439701075,0.0011997600479904018,-0.0010390291611353556,0.45830833833233353,0.0583920292556285,56.10000000000001
L29_N4718,True,120,3.079473972320576e-05,0.9704059188162367,0.0022356112798055014,0.42451509698060386,-9.396672248840332e-06,0.9916016796640672,-0.0012152314186096192,0.6384723055388922,-2.138316631317117e-05,0.9596080783843232,-0.0010204583406448365,0.47330533893221355,-0.1289180964231491,87.5
L29_N578,True,120,0.0013026724259058633,0.15576884623075385,0.003689992427825928,0.3053389322135573,-0.00033571422100067125,0.737252549490102,-0.0020899097124735515,0.6052789442111578,-0.0009669430553913114,0.06598680263947211,-0.0016000151634216308,0.4205158968206359,0.0793904885649681,68.4
L29_N5866,True,120,0.004417349894841511,0.0007998400319936012,-0.003052163124084473,0.35892821435712857,-0.005854421854019165,0.0001999600079984003,0.005946103731791178,0.09318136372725455,0.0014370707174142202,0.006798640271945611,-0.002893906831741333,0.12337532493501299,0.2293597161769867,98.9
L29_N6625,True,120,-0.00026548504829406713,0.7738452309538092,-0.0003126780192057292,0.9090181963607279,-0.0010263244311014806,0.3243351329734053,0.00041031440099080404,0.8794241151769646,0.0012917766968409221,0.005398920215956809,-9.765625e-05,0.9416116776644671,0.1929714083671569,96.9
L29_N8568,True,120,-0.0009739428758621212,0.22555488902219556,0.003207687536875407,0.1837632473505299,0.0010235627492268878,0.23135372925414918,-0.0008933583895365398,0.6676664667066586,-4.9600005149841165e-05,0.911617676464707,-0.0023143251736958822,0.07418516296740651,0.1314458549022674,88.1
