pair,layer,positions,rec
2,10,all,-0.12558691729372232
2,11,last,0.014553527793790402
2,11,all,0.18325528473271177
2,12,last,0.005549717397320467
2,12,all,-0.253051476978448
2,13,last,0.04259650386831797
2,13,all,-0.04995647754090268
2,14,last,0.037995811708897105
2,14,all,-0.026721527936548407
2,15,last,-0.09956025013805034
2,15,all,-0.25637888210821236
2,16,last,-0.17002212058930266
2,16,all,-0.0839308613523028
2,17,last,-0.11870298438170257
2,17,all,-0.21572587860502163
2,18,last,-0.07848495899503098
2,18,all,-0.1221987808584784
2,19,last,-0.00570953143333078
2,19,all,0.04583729787492683
2,20,last,-0.06294755447553736
2,20,all,-0.02152668445817866
2,21,last,0.3523329645089603
2,21,all,0.47065016707517343
2,22,last,-0.034271434823429155
2,22,all,-0.024355225292932423
2,23,last,0.09484770787137858
2,23,all,0.08985492415044445
2,24,last,0.019839911884396776
2,24,all,0.04084860562993004
2,25,last,-0.19756751403598075
2,25,all,-0.16811499985359418
2,26,last,0.061604416585601215
2,26,all,0.05577608446541515
2,27,last,-0.062362276236934515
2,27,all,-0.07945823731920976
2,28,last,-0.05310439997322301
2,28,all,-0.029419585195324595
2,29,last,-0.15516424613964316
2,29,all,-0.15577629150395655
2,30,last,-0.1924075220454146
2,30,all,-0.20309859796457452
2,31,last,-0.3815024274283082
2,31,all,-0.3815024274283082
3,0,last,-0.0050673952151433065
3,0,all,-0.2760005992362156
3,1,last,-0.005055886320750566
3,1,all,-0.17218418215620393
3,2,last,-0.05020373160910108
3,2,all,-0.059882228226404904
3,3,last,-0.003357985900927375
3,3,all,-0.09688593496081996
3,4,last,-0.005083739779448964
3,4,all,-0.2907954280481815
3,5,last,-0.0480216839175967
3,5,all,-0.1736621563083877
3,6,last,-0.0087897004873098
3,6,all,-0.09332755889870133
3,7,last,-0.003307114653443495
3,7,all,-0.49614311803415706
3,8,last,-0.0008389887298909875
3,8,all,-0.4530023658998616
3,9,last,-0.006657363482510204
3,9,all,-0.4519060228172052
3,10,last,0.06553290194644418
3,10,all,-0.4580103790884743
3,11,last,0.009631687332546796
3,11,all,0.270807670030133
3,12,last,0.022663721034458115
3,12,all,-1.0
3,13,last,0.12517499080497366
3,13,all,0.3443566619912186
3,14,last,-0.19150094261713613
3,14,all,0.16586918410352822
3,15,last,-0.12705152087137997
3,15,all,-0.1960128160726836
3,16,last,0.011241191706361875
3,16,all,0.08252022349692631
3,17,last,-0.13205721293843448
3,17,all,-0.17012631446806326
3,18,last,-0.14906716542410905
3,18,all,-0.11342015424046181
3,19,last,-0.23765992648427745
3,19,all,-0.29559821540569
3,20,last,-0.2969630348819115
3,20,all,-0.37549837623039994
3,21,last,0.3031987279480154
3,21,all,0.3081911702795085
3,22,last,-0.1090309133739059
3,22,all,-0.012551174685770916
3,23,last,0.1362252702631736
3,23,all,0.11046846132561766
3,24,last,-0.03386787150928705
3,24,all,-0.021636431318158164
3,25,last,-0.1731768484759274
3,25,all,-0.09496878526714514
3,26,last,-0.0690824770893213
3,26,all,-0.0171676920382339
3,27,last,-0.154031851010302
3,27,all,-0.16146176111809973
3,28,last,-0.0985333509867523
3,28,all,-0.03462233272910026
3,29,last,-0.36248558849474205
3,29,all,-0.40619752995915115
3,30,last,-0.6552765040891876
3,30,all,-0.6570602860066641
3,31,last,-0.7973492598378561
3,31,all,-0.7973492598378561
4,0,last,0.020863333484070743
4,0,all,-0.01778426777659574
4,1,last,-0.015846048531260745
4,1,all,-0.01639246623509054
4,2,last,-0.004617171205538763
4,2,all,0.09896732763398863
4,3,last,-0.0040351344896687675
4,3,all,0.07051091612423366
4,4,last,0.003710540833499155
4,4,all,0.08461987280055033
4,5,last,-0.020599467323838522
4,5,all,-0.09295984712242177
4,6,last,0.000581063518819717
4,6,all,-0.1779766545598791
4,7,last,-0.0007795308372732135
4,7,all,-0.2480637109288147
4,8,last,0.03400908459982494
4,8,all,-0.22168241504946729
4,9,last,0.032958810343164203
4,9,all,0.017961000360926346
4,10,last,0.009489644437267297
4,10,all,-0.2711827205360214
4,11,last,0.05239556671113312
4,11,all,0.19238113874046373
