cell,pair,set,direction,condition,lp_264,lp_279,lp_304,lp_358,lp_430,lp_539,lp_912,lp_7566,lp_9987,lp_10035,lp_25420
circuit,1,random20,control_to_uncertain,patched,-7.001770973205566,-6.001770973205566,-8.783020973205566,-3.7517712116241455,-8.564270973205566,-0.37677112221717834,-8.658020973205566,-12.314270973205566,-4.064270973205566,-11.158020973205566,-5.064270973205566
circuit,1,random21,control_to_uncertain,patched,-6.281815052032471,-4.094315052032471,-8.031815528869629,-4.094315052032471,-7.531815052032471,-0.7818151712417603,-7.531815052032471,-10.438065528869629,-4.219315052032471,-9.875565528869629,-4.406815052032471
circuit,1,random22,control_to_uncertain,patched,-6.634331226348877,-6.821831226348877,-9.103081703186035,-3.821831226348877,-8.946831703186035,-0.6343313455581665,-8.946831703186035,-14.024956703186035,-3.321831226348877,-13.103081703186035,-4.009331226348877
circuit,1,random23,control_to_uncertain,patched,-6.293102741241455,-5.293102741241455,-8.793102264404297,-4.605602741241455,-7.480602741241455,-0.8556026220321655,-9.168102264404297,-12.824352264404297,-3.543102741241455,-12.605602264404297,-3.793102741241455
circuit,1,random24,control_to_uncertain,patched,-6.03255558013916,-5.09505558013916,-8.37630558013916,-4.09505558013916,-7.78255558013916,-0.7825556993484497,-7.84505558013916,-11.53255558013916,-3.59505558013916,-10.47005558013916,-4.03255558013916
circuit,1,random25,control_to_uncertain,patched,-7.30239200592041,-5.67739200592041,-8.95864200592041,-4.05239200592041,-8.27114200592041,-0.48989176750183105,-8.05239200592041,-12.39614200592041,-3.552391767501831,-11.58364200592041,-4.30239200592041
circuit,1,random26,control_to_uncertain,patched,-7.4114909172058105,-6.0364909172058105,-9.286491394042969,-4.5364909172058105,-7.7864909172058105,-0.3489909768104553,-7.9739909172058105,-12.958366394042969,-3.7239909172058105,-11.973991394042969,-5.1614909172058105
circuit,1,random27,control_to_uncertain,patched,-5.775212287902832,-7.900212287902832,-9.056462287902832,-4.712712287902832,-9.775212287902832,-0.7127124071121216,-9.275212287902832,-14.322087287902832,-2.837712287902832,-13.759587287902832,-3.275212287902832
circuit,1,random28,control_to_uncertain,patched,-5.836156368255615,-7.461156368255615,-8.711156845092773,-3.9611563682556152,-9.273656845092773,-0.71115642786026,-9.148656845092773,-13.867406845092773,-3.8361563682556152,-12.929906845092773,-4.148656368255615
circuit,1,random29,control_to_uncertain,patched,-6.733898639678955,-7.296398639678955,-9.108898162841797,-4.046398639678955,-9.483898162841797,-0.42139849066734314,-9.358898162841797,-13.718273162841797,-4.296398639678955,-12.921398162841797,-4.796398639678955
circuit,2,baseline,,baseline_u,-5.1719584465026855,-6.0469584465026855,-8.015708923339844,-5.4844584465026855,-7.7344584465026855,-2.1094584465026855,-5.7969584465026855,-13.468833923339844,-8.734458923339844,-10.796958923339844,-7.7344584465026855
circuit,2,baseline,,baseline_c,-2.260545253753662,-6.948045253753662,-9.82304573059082,-11.32304573059082,-5.760545253753662,-2.885545253753662,-8.88554573059082,-14.61992073059082,-10.35429573059082,-12.54179573059082,-7.260545253753662
