pair,alpha,layer,rankunknown,rankI,ranknot
17,-3.0,19,118783,94395,2872
17,-3.0,20,114928,110257,1432
17,-3.0,21,56668,92385,994
17,-3.0,22,79814,91448,1925
17,-3.0,23,65949,115440,741
17,-3.0,24,60421,116428,538
17,-3.0,25,27146,100158,503
17,-3.0,26,34410,106306,818
17,-3.0,27,5173,57200,351
17,-3.0,28,4776,34098,174
17,-3.0,29,3367,22913,56
17,-3.0,30,2258,740,22
17,0.0,16,16136,12148,2544
17,0.0,17,10438,27344,1286
17,0.0,18,3381,50586,1624
17,0.0,19,19028,11931,1157
17,0.0,20,15721,19012,522
17,0.0,21,3350,17565,704
17,0.0,22,5702,24011,1561
17,0.0,23,3948,45715,650
17,0.0,24,4907,54724,669
17,0.0,25,4875,57109,787
17,0.0,26,6988,61020,1004
17,0.0,27,1245,12265,387
17,0.0,28,1237,10059,193
17,0.0,29,810,5985,81
17,0.0,30,938,590,26
17,3.0,16,937,851,2920
17,3.0,17,411,1358,1564
17,3.0,18,335,3232,1232
17,3.0,19,120,1763,936
17,3.0,20,145,1815,350
17,3.0,21,72,1878,382
17,3.0,22,95,3002,564
17,3.0,23,125,6519,426
17,3.0,24,156,8728,386
17,3.0,25,283,12728,449
17,3.0,26,381,18913,526
17,3.0,27,263,4838,360
17,3.0,28,221,3380,190
17,3.0,29,201,1904,128
17,3.0,30,232,514,47
18,-3.0,16,125455,117150,25016
18,-3.0,17,122801,119997,12235
18,-3.0,18,111199,124549,16292
18,-3.0,19,108692,91459,1802
18,-3.0,20,98026,103775,738
18,-3.0,21,37870,83258,711
18,-3.0,22,57537,84519,1459
18,-3.0,23,32688,107196,642
18,-3.0,24,32248,109890,603
18,-3.0,25,21832,81051,527
18,-3.0,26,27342,92979,767
18,-3.0,27,3505,44337,285
18,-3.0,28,4859,19152,162
18,-3.0,29,3518,19507,63
18,-3.0,30,1741,940,22
18,0.0,16,19619,10274,2465
18,0.0,17,6283,20807,932
18,0.0,18,1798,45565,932
18,0.0,19,6036,8915,597
18,0.0,20,4176,16253,387
18,0.0,21,1277,13545,854
18,0.0,22,2335,21200,1742
18,0.0,23,937,29946,645
18,0.0,24,1038,41106,564
18,0.0,25,1401,26422,598
18,0.0,26,2078,31444,658
18,0.0,27,500,6723,264
18,0.0,28,831,4794,158
18,0.0,29,704,7916,56
18,0.0,30,523,550,17
18,3.0,16,1426,777,3324
18,3.0,17,510,1409,1746
